,Unnamed: 0,参加人数,费用,live评分,喜欢数,回答数
count,198.0,198.0,198.0,198.0,198.0,198.0
mean,98.5,231.626262626,26.7070707071,0.0,199.858585859,0.0
std,57.3018324314,450.13982229,42.6925622751,0.0,271.477271304,0.0
min,0.0,0.0,4.0,0.0,1.0,0.0
25%,49.25,33.0,9.0,0.0,43.25,0.0
50%,98.5,83.5,19.0,0.0,102.0,0.0
75%,147.75,262.75,29.0,0.0,237.0,0.0
max,197.0,3942.0,399.0,0.0,1908.0,0.0
